,Unnamed: 0,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Parents,Enfants
0,0,1.33772E+18,1.33772E+18,1.60777E+12,2020-12-12 12:10:51,100,,"Très heureux de conclure le #ForumZéroCarbone avec plus de 800 000 spectateurs en présence de @JY_LeDrian  et @Anne_Hidalgo ""Durant ces 2 jours nous avons réinventé la proximité à l'échelle mondiale"" merci @CarlosMorenoFr @ANgatcha9  #AccordDeParis #ClimateAction #ParisAgreement",fr,"['forumzérocarbone', 'accorddeparis', 'climateaction', 'parisagreement']",[],1615160472,1615160472,jc_tortora,Jean-Christophe TORTORA,6,12,https://twitter.com/jc_tortora/status/1337716539596869633,[],[],0,,FALSE,0,0,0,https://twitter.com/CarlosMorenoFr/status/1337453606879055872,ForumZeroCarbone,,,,,,,[],,,,,0,[]
1,1,1.33772E+18,1.33772E+18,1.60777E+12,2020-12-12 12:08:06,100,,Le #ForumZeroCarbone à #Paris a été un très grand succès. Autour d'@Anne_Hidalgo des personnalités en France et dans le monde présentes ou à distance pour le 5e anniversaire #COP21 Un grand bravo à l'adjoint @ANgatcha9 qui a fait briller les relations internationales de #Paris??  https://t.co/OdxTpKAGa0,fr,"['forumzerocarbone', 'paris', 'cop21', 'paris']",[],549220611,549220611,CarlosMorenoFr,Carlos MORENO,6,12,https://twitter.com/CarlosMorenoFr/status/1337715850019807235,[],"['https://pbs.twimg.com/media/EpCFdYuXYAApNFx.jpg', 'https://pbs.twimg.com/media/EpCFdw3W4AEqewX.jpg', 'https://pbs.twimg.com/media/EpCFeJKWMAAonxl.jpg', 'https://pbs.twimg.com/media/EpCFecHXYAE6B9c.jpg']",1,https://pbs.twimg.com/media/EpCFdYuXYAApNFx.jpg,FALSE,3,0,1,,ForumZeroCarbone,,,,,,,[],,,,,0,[1337716663911919617]
2,2,1.33771E+18,1.33771E+18,1.60777E+12,2020-12-12 11:58:39,100,,Après #ForumZéroCarbone à #Paris avec @Anne_Hidalgo nous serons ce mardi à #Marseille pour #ForumZéroCarbone en présence de @MicheleRubirola @MartineVassal @RenaudMuselier et toutes les entreprises engagées pour le #climat. #AccordDeParis #ParisAgreement #ClimateAction,fr,"['forumzérocarbone', 'paris', 'marseille', 'forumzérocarbone', 'climat', 'accorddeparis', 'parisagreement', 'climateaction']",[],1615160472,1615160472,jc_tortora,Jean-Christophe TORTORA,6,11,https://twitter.com/jc_tortora/status/1337713471488659456,[],[],0,,FALSE,3,0,0,https://twitter.com/BdT_PACA/status/1337708608189030401,ForumZeroCarbone,,,,,,,[],,,,,0,[]
3,3,1.33771E+18,1.33771E+18,1.60777E+12,2020-12-12 11:38:50,100,,Merci à François-Henri Pinault de @KeringGroup d'être venu à notre #ForumZéroCarbone porter la voix des entreprises engagées pour le #climat. #AccordDeParis #ClimateAction #ParisAgreement,fr,"['forumzérocarbone', 'climat', 'accorddeparis', 'climateaction', 'parisagreement']",[],1615160472,1615160472,jc_tortora,Jean-Christophe TORTORA,6,11,https://twitter.com/jc_tortora/status/1337708482817101826,[],[],0,,FALSE,2,0,1,https://twitter.com/phmabille/status/1337419611835420672,ForumZeroCarbone,,,,,,,[],,,,,0,[1337709075665211392]
4,4,1.33771E+18,1.33771E+18,1.60777E+12,2020-12-12 11:32:07,100,,????Dans le cadre de la campagne #GreenJustRecovery??@c40cities invitent les #étudiants à réinventer les quartiers de leur ville.  Si tu veux contribuer et faire de @Paris une ville plus innovante et plus saine ???? https://t.co/vwTNV1Pdit  #AccordDeParis  #COP21 #ForumZeroCarbone,fr,"['greenjustrecovery', 'étudiants', 'accorddeparis', 'cop21', 'forumzerocarbone']",[],1.0515E+18,1.0515E+18,SimonVermorel,Simon Vermorel,6,11,https://twitter.com/SimonVermorel/status/1337706792646799363,['https://cutt.ly/qhOnlsz'],[],0,,FALSE,1,0,1,,ForumZeroCarbone,,,,,,,[],,,,,0,[]
5,5,1.3377E+18,1.3377E+18,1.60777E+12,2020-12-12 10:56:27,100,,"Cérémonie «5 ans de lAccord de Paris????» avec @Anne_Hidalgo. Se rappeler de la #COP21 et préparer la #COP26 à Glasgow. Après le succès du #ForumZéroCarbone, présenter la Déclaration de Paris, cest peser sur les actions indispensables à mettre en place. ??  https://t.co/ojCbvID5cY  https://t.co/8aUAR0A9BF",fr,"['cop21', 'cop26', 'forumzérocarbone']",[],1723745084,1723745084,hermanosanches,Hermano Sanches Ruivo,6,10,https://twitter.com/hermanosanches/status/1337697818413240321,['https://www.accorddeparis-5ans.org/accueil/portail-streaming.htm'],"['https://pbs.twimg.com/media/EpB1EoVXUAA35Ju.jpg', 'https://pbs.twimg.com/media/EpB1EoWXUAAhDzn.jpg', 'https://pbs.twimg.com/media/EpB1EoTWMAApoGp.jpg', 'https://pbs.twimg.com/media/EpB1EpaXYAAsa8g.jpg']",1,https://pbs.twimg.com/media/EpB1EoVXUAA35Ju.jpg,FALSE,4,0,1,,ForumZeroCarbone,,,,,,,[],,,,,0,[1337701200108679169]
6,6,1.33769E+18,1.33769E+18,1.60777E+12,2020-12-12 10:32:40,100,,"#ForumZeroCarbone ""La transition écologique et la transition numérique doivent être pensées avec la transition démographique. Nous échouerons si nous ne parvenons pas à les penser toutes les trois ensemble; ce sera notre grand défi !"" @Halpern_G #Hybridation  @LaTribune @Paris  https://t.co/98fZ1qhg4k",fr,"['forumzerocarbone', 'hybridation']",[],305449695,305449695,SoccolB,Brice Soccol,6,10,https://twitter.com/SoccolB/status/1337691831447023617,[],"['https://pbs.twimg.com/media/EpBvnrfXcAAaZ7L.jpg', 'https://pbs.twimg.com/media/EpBvnrhXUAEW790.jpg', 'https://pbs.twimg.com/media/EpBvnrqXUAEvg3s.jpg']",1,https://pbs.twimg.com/media/EpBvnrfXcAAaZ7L.jpg,FALSE,1,0,0,,ForumZeroCarbone,,,,,,,[],,,,,0,[]
7,7,1.33766E+18,1.33766E+18,1.60776E+12,2020-12-12 08:41:17,100,,@orangebusiness priority is not only to reduce our own carbon footprint but also to support our customers &amp; the planet with Digital solutions for green We believe we have Dual responsibility - Dual positive impact! @HelmReisinger @fabricedewindt #ForumZeroCarbone @mechtildwe,en,['forumzerocarbone'],[],281034681,281034681,Marwa_Orange,Marwa Abelmoniem,6,8,https://twitter.com/Marwa_Orange/status/1337663801349517312,[],[],0,,FALSE,0,0,0,https://twitter.com/orange/status/1337483447145799680,ForumZeroCarbone,,,,,,,[],,,,,0,[]
8,8,1.33766E+18,1.33766E+18,1.60776E+12,2020-12-12 08:39:43,100,,"Quelles stratégies pour le #zerocarbone en Auvergne Rhône Alpes ? Evénement digital #ForumZeroCarbone, 14 décembre de 8h45 à 9h30 en présence de Thierry ROQUES Eau du Grand Lyon. En direct sur  https://t.co/0QhyaWuA8U :  https://t.co/mP3s2TTjYn  https://t.co/Zm4qxVMPPA",fr,"['zerocarbone', 'forumzerocarbone']",[],9.56921E+17,9.56921E+17,S_Montmailler,Sophie Montmailler,6,8,https://twitter.com/S_Montmailler/status/1337663407546359808,"['http://latribune.fr', 'https://bit.ly/2KdVwXx']",['https://pbs.twimg.com/media/EpBVwCCXYAA3MiR.jpg'],1,https://pbs.twimg.com/media/EpBVwCCXYAA3MiR.jpg,FALSE,0,0,1,,ForumZeroCarbone,,,,,,,[],,,,,0,[]
9,9,1.33761E+18,1.33761E+18,1.60775E+12,2020-12-12 04:55:33,100,,#ForumZeroCarbone,und,['forumzerocarbone'],[],2485007894,2485007894,FRinMalaysia,France in Malaysia,6,4,https://twitter.com/FRinMalaysia/status/1337606994627334152,[],[],0,,FALSE,0,0,0,https://twitter.com/GlobalTaskforce/status/1337319984956116994,ForumZeroCarbone,,,,,,,[],,,,,0,[]
