,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
10,1337708264994312192,1337708264994312192,1.60777E+12,2020-12-12 11:37:58,+0100,,RT @ScotGovFrance: ??La Première ministre de l’Écosse @NicolaSturgeon est intervenue au #ForumZeroCarbone sur l’engagement avec nos partenai…,fr,['forumzerocarbone'],[],8.5794E+17,857939750375878656,Sweetie44444,Sweetie,6,11,https://twitter.com/Sweetie44444/status/1337708264994312192,[],[],0,,TRUE,0,0,72,,ForumZeroCarbone,,,,1074703278800338945,"??La Première ministre de l’Écosse @NicolaSturgeon est intervenue au #ForumZeroCarbone sur l’engagement avec nos partenaires ???? contre le changement climatique. 

Nous sommes ravis que Mme @AnneHidalgo ait signé la Déclaration d’Édimbourg sur la #biodiversité au nom de @Paris ?? https://t.co/PExUTfYEMv",1337351896810606593,[],2020-12-11 12:01:53 Romance Standard Time,,,
11,1337707433494450177,1337707433494450177,1.60777E+12,2020-12-12 11:34:40,+0100,,RT @SimonVermorel: ????Dans le cadre de la campagne #GreenJustRecovery??@c40cities invitent les #étudiants à réinventer les quartiers de leur…,fr,"['greenjustrecovery', 'étudiants']",[],1687660320,1687660320,smartlang,Jon,6,11,https://twitter.com/smartlang/status/1337707433494450177,[],[],0,,TRUE,0,0,1,,ForumZeroCarbone,,,,1051498595193643008,"????Dans le cadre de la campagne #GreenJustRecovery??@c40cities invitent les #étudiants à réinventer les quartiers de leur ville.

Si tu veux contribuer et faire de @Paris une ville plus innovante et plus saine ????https://t.co/vwTNV1Pdit

#AccordDeParis  #COP21 #ForumZeroCarbone",1337706792646799363,[],2020-12-12 11:32:07 Romance Standard Time,,,
12,1337706619405217793,1337706619405217793,1.60777E+12,2020-12-12 11:31:26,+0100,,"RT @Paris: #ForumZeroCarbone ?? Logement, énergie, mobilité, alimentation... De nombreuses actions ont déjà été réalisées. Un seul objectif…",fr,['forumzerocarbone'],[],39584114,39584114,magnifyk,MAGNIFYK,6,11,https://twitter.com/magnifyk/status/1337706619405217793,[],[],0,,TRUE,0,0,25,,ForumZeroCarbone,,,,71016845,"#ForumZeroCarbone ?? Logement, énergie, mobilité, alimentation... De nombreuses actions ont déjà été réalisées. Un seul objectif : la neutralité carbone d’ici à 2050 ! https://t.co/fxoLXL447u",1337110081238933509,[],2020-12-10 20:01:00 Romance Standard Time,,,
13,1337705473869537285,1337705473869537285,1.60777E+12,2020-12-12 11:26:52,+0100,,RT @ScotGovFrance: ??La Première ministre de l’Écosse @NicolaSturgeon est intervenue au #ForumZeroCarbone sur l’engagement avec nos partenai…,fr,['forumzerocarbone'],[],1.19892E+18,1198921918738550786,AOidhche,An Cailleach-oidhche,6,11,https://twitter.com/AOidhche/status/1337705473869537285,[],[],0,,TRUE,0,0,72,,ForumZeroCarbone,,,,1074703278800338945,"??La Première ministre de l’Écosse @NicolaSturgeon est intervenue au #ForumZeroCarbone sur l’engagement avec nos partenaires ???? contre le changement climatique. 

Nous sommes ravis que Mme @AnneHidalgo ait signé la Déclaration d’Édimbourg sur la #biodiversité au nom de @Paris ?? https://t.co/PExUTfYEMv",1337351896810606593,[],2020-12-11 12:01:53 Romance Standard Time,,,
14,1337701852301979649,1337701852301979649,1.60777E+12,2020-12-12 11:12:29,+0100,,"RT @CCRECEMR: As we celebrate the 5th anniversary of the #ParisAgreement, cities reiterate their commitment to tackle #climatechange. EU's…",en,"['parisagreement', 'climatechange']",[],1.15945E+18,1159445850730455045,EcologyAfricaF1,EcologyAfricaFoundation(E.A.F),6,11,https://twitter.com/EcologyAfricaF1/status/1337701852301979649,[],[],0,,TRUE,0,0,9,,ForumZeroCarbone,,,,146793462,"As we celebrate the 5th anniversary of the #ParisAgreement, cities reiterate their commitment to tackle #climatechange. EU's recovery plan should involve them to ensure that the needs on the ground are taking on board.
@fvccre highlights local initiatives at the #ForumZeroCarbone https://t.co/U2Ze5f0Ue5",1337362083097309184,[],2020-12-11 12:42:22 Romance Standard Time,,,
15,1337701817870856197,1337701817870856197,1.60777E+12,2020-12-12 11:12:21,+0100,,RT @ICLEI_advocacy: Cities &amp; regions thru #LGMA and @GlobalTaskforce  around the world aim for #MultilevelAction w/ the leadership of Susan…,en,"['lgma', 'multilevelaction']",[],1.15945E+18,1159445850730455045,EcologyAfricaF1,EcologyAfricaFoundation(E.A.F),6,11,https://twitter.com/EcologyAfricaF1/status/1337701817870856197,[],[],0,,TRUE,0,0,6,,ForumZeroCarbone,,,,96335206,Cities &amp; regions thru #LGMA and @GlobalTaskforce  around the world aim for #MultilevelAction w/ the leadership of Susan Aitken @SusaninLangside as the leader of #CoP26 Host City @GlasgowCC which will put #ClimateJustice #SocialEquity at the heart of #COP26 #ForumZeroCarbone https://t.co/2ZtHLFhCGb,1337442964554067969,[],2020-12-11 18:03:45 Romance Standard Time,,,
16,1337701200108679169,1337701200108679169,1.60777E+12,2020-12-12 11:09:54,+0100,,RT @hermanosanches: Cérémonie «5 ans de l’Accord de Paris????» avec @Anne_Hidalgo. Se rappeler de la #COP21 et préparer la #COP26 à Glasgow.…,fr,"['cop21', 'cop26']",[],1.20037E+18,1200374837065265152,LucieSolem,Lucie Solem ??????,6,11,https://twitter.com/LucieSolem/status/1337701200108679169,[],[],0,,TRUE,0,0,1,,ForumZeroCarbone,,,,1723745084,"Cérémonie «5 ans de l’Accord de Paris????» avec @Anne_Hidalgo. Se rappeler de la #COP21 et préparer la #COP26 à Glasgow. Après le succès du #ForumZéroCarbone, présenter la Déclaration de Paris, c’est peser sur les actions indispensables à mettre en place.
?? https://t.co/ojCbvID5cY https://t.co/8aUAR0A9BF",1337697818413240321,[],2020-12-12 10:56:27 Romance Standard Time,,,
17,1337700011606499328,1337700011606499328,1.60777E+12,2020-12-12 11:05:10,+0100,,RT @ScotGovFrance: ??La Première ministre de l’Écosse @NicolaSturgeon est intervenue au #ForumZeroCarbone sur l’engagement avec nos partenai…,fr,['forumzerocarbone'],[],2785714583,2785714583,GordonMackie5,Gordon Mackie,6,11,https://twitter.com/GordonMackie5/status/1337700011606499328,[],[],0,,TRUE,0,0,72,,ForumZeroCarbone,,,,1074703278800338945,"??La Première ministre de l’Écosse @NicolaSturgeon est intervenue au #ForumZeroCarbone sur l’engagement avec nos partenaires ???? contre le changement climatique. 

Nous sommes ravis que Mme @AnneHidalgo ait signé la Déclaration d’Édimbourg sur la #biodiversité au nom de @Paris ?? https://t.co/PExUTfYEMv",1337351896810606593,[],2020-12-11 12:01:53 Romance Standard Time,,,
18,1337698338205028353,1337698338205028353,1.60777E+12,2020-12-12 10:58:31,+0100,,"RT @France_urbaine: ?? @frebsamen : « Si l'ambition écologique est impulsée au niveau international, européen et national, c'est bien au niv…",fr,[],[],9.12261E+17,912261247076372480,ChaufourEtienne,Chaufour Etienne,6,10,https://twitter.com/ChaufourEtienne/status/1337698338205028353,[],[],0,,TRUE,0,0,11,,ForumZeroCarbone,,,,249606051,"?? @frebsamen : « Si l'ambition écologique est impulsée au niveau international, européen et national, c'est bien au niveau local que l'on fait bouger concrètement les choses : c'est notamment l'action menée par les grandes villes de France. » 

#ForumZeroCarbone #CollTerr https://t.co/G0SbKrIIpC",1337332002262036480,[],2020-12-11 10:42:50 Romance Standard Time,,,
19,1337697587231682562,1337697587231682562,1.60777E+12,2020-12-12 10:55:32,+0100,,"RT @LaTribuneEvents: ????#ForumZeroCarbone, organisé par @Paris et @LaTribune ??Comment trois grands groupes Français accélèrent leur transfor…",fr,['forumzerocarbone'],[],2278892035,2278892035,Thierry1Paul,PAUL thierry,6,10,https://twitter.com/Thierry1Paul/status/1337697587231682562,[],[],0,,TRUE,0,0,4,,ForumZeroCarbone,,,,278011715,"????#ForumZeroCarbone, organisé par @Paris et @LaTribune
??Comment trois grands groupes Français accélèrent leur transformation vers une économie décarbonée ? 
#Energie #mobilite #Numerique  
Inscrivez-vous : https://t.co/ol8xyw00Gp 
@J_B_Levy @srichard https://t.co/WqpVS6m9F0",1336315957132681221,[],2020-12-08 15:25:26 Romance Standard Time,,,
